,prompt,completion,actual_completion
2084,"Call or text Danielle at (312) 339-6241 to schedule a showing or for more information. Please reference 422 Ridge. This 2 bedroom/ 1 bath townhouse for rent in Wilmette features: -Central Air/Heat -Washer/Dryer in Unit -Dishwasher -Stainless Steel Appliances -Hardwood Floors throughout -Rent includes one free lot parking space directly out the back door of the unit! Close to: Winnetka, Kenilworth, Glencoe, Evanston, Glenview, Skokie, Northwestern University, Lake Michigan, Wilmette Historical Museum. Steps from the bowling center, restaurants, parks, Eden's Shopping Plaza, Westfield Old Orchard Shopping Center, I-94, Ice rink, Wilmette School District 39 top rated schools - McKenzie Elementary, Highcrest Middle School, New Trier Township HS and more! 2nd month rent free for qualified applicants signing a two year lease. -=>", 2001-2500, 1501-
3394,"833 N. Rockwell Ukrainian Village Drop dead gorgeous in hot Ukrainian Village, short walk to Smith Park, too! This beautiful two bedroom plus den/office, one bath features central air, large, eat-in kitchen, granite countertops, high end stainless appliances, ice and water dispenser in the double door refrigerator, dishwasher, built-in microwave, ceiling fans, large, open, living/dining rooms, queen size bedrooms, organized closets, marble bath with Jacuzzi tub, gorgeous landscaped back yard, garage available, too! Cats OK, no dogs, please. Please Call Aleksandra Chadiev at 224/322-5494‬ to schedule an appointment to view this apartment and mention Apartment ID: 48137. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 1501-
1698,"Hello, We are offering apartment package deals for individuals with bad credit or no credit & need help getting approved. Stop getting denied and contact us today. We can also be contacted through our website at <URL> -=>", 501-1000, 501-1000
1761,"REHABBED LAKEVIEW TWO BEDROOM Excellent location @ Oakdale and Broadway. Walking distance of Lincoln Park, Lake Michigan, CTA, restaurants, and grocery stores. Beautiful mid-rise building features: Laundry room Bike storage 24-hour maintenance Updated unit features: Large closet Granite countertops Dishwasher Rent includes: Heat Water Cooking gas Trash Complementary amenities: Fiber Optic Internet NO security deposit! Don't wait! For more information and to schedule a tour call or text 312-216-7675 Agnes Kalinska Leasing Agent BJB Properties *Price is subject to change *Equal Housing Opportunity *Pictures might represent units with same or similar layout *Units are not furnished -=>", 1501-2000, 1501-
2036,"Call or text Dan at Apartment Guys at 773-490-0966 and ask for reference #2202857. These units have been renovated with newer kitchens with granite countertops, stainless steel appliances including a dishwasher and microwave! The units also have hardwood floors, air conditioning, big windows as well as on site laundry, 24 hour fitness center, roof deck with fire pits and assigned parking! Easily walk to nearby CTA, Metra trains, Northwestern, shopping, restaurants and more! Prices are subject to change.***Photos may be of a similar unit****For faster response best to call or text 773-490-0966 with reference #2202857 -=>", 1001-1500, 1501-
3446,"Call or text Dan at Apartment Guys at 773-490-0966 and ask for reference #2202840. This lovely one bedroom features a modern kitchen with updated appliances, and lovely hardwood floors. This pet friendly building also has a dog run area and shared common area laundry is on site! Prices are subject to change. ***Photos may be of a similar unit. * ** * For faster response best to call or text 773-490-0966 with reference #2202840 -=>", 1001-1500, 1001-
338,Lisle 2 bedrm apt available July 1st. $1290/MO all utilities except electric included. Call Pete at 331-431-0220. -=>, 1001-1500, 1001-
3036,"JEFFERSON PARK, CHICAGO APARTMENTS FOR RENT 3 Bed 1 Bath $1500/Mo VIDEO walkthrough: <URL> Studio $650/Mo VIDEO walkthrough: <URL> *Owner Landlord Licensed Realtor Call/Text for Zillow Listings To Apply ($29) Requirements: 690+ Credit Score, Paystubs, Bank Statements, Reference -=>", 1501-2000, 1501-
3334,Located in Lakes of Four Seasons Gated community 3 bedrooms 1.5 bathrooms Fenced in backyard 2 car attached garage Deposit due at signing of 1 year lease Porter County side -=>, 1501-2000, 2001-2500
3753,"Rent: $1925 / Month Beds: 2 Bath: 1 Available Date: 03/01/2023 Pet: Cats Allowed Rent Includes:: Heat, Hot Water, Water CHECK OUT THE VIDEO TOUR - Modern, top floor Ravenswood 2-bed - 2021 Rehab - Loads of natural light - Remodeled kitchen: granite countertops, SS appliances, dishwasher - Updated bathroom - Queen-sized bedrooms - FREE HEAT! - Large living area - Plenty of storage space Leavitt & Wilson - Laundry in-building - Free heat! - Just steps to Lincoln Square, with great shopping and nightlife. - Close to Wells Park - Near several bus lines (#49, #50, #78, #11, #49B, #81) - Quarter-mile to Western Brown Line Station - Assigned building engineer - 24-hour emergency call center - NO SECURITY DEPOSIT! To see a list of other ICM properties, visit our website @ <URL> FEATURES Building Engineer Close to EL Dishwasher Gas Stove Granite Countertops Hardwood Floors Heat and Hot Water Laundry in Building Modern appliances Modern Bath Modern Bathrooms Modern Kitchen Modern Rehab Near Bus Lines New/Renovated Bath New/Renovated Kitchen New Appliances New Windows On-site Laundry Refrigerator Rehab Renovated Renovated Kitchen Stainless Steel Stainless Steel Appliance(s) Stainless Steel Appliances Stove VIDEO WALK THROUGH Saffyah Aziz saffiyah @ <URL> Cell: 612-453-9055 WE PAY FOR REFERRALS! Online Payments   /   Maintenance Requests Find an Apartment  /  https://ygl.is/saffiyah-muhammad ICM Properties, Inc. does not discriminate based on race, religion, national origin, age, gender, familial status, handicap or source of income. CONFIDENTIALITY NOTICE: This email and any attachments are for the sole use of the intended recipient(s) and contain information that may be confidential and/or legally privileged. Internet communications are not secure and therefore the sender does not accept legal responsibility for the contents of this message. If you have received this email in error, please notify the sender by reply email and delete the message. Any disclosure, copying, distribution or use of this communication by someone other than the intended recipient is prohibited. -=>", 1501-2000, 1501-
3057,80TH & MARSHFIELD 2 BEDROOM APARTMENT HEAT INCLUDED SECTION 8 WELCOME HARDWOOD FLOORS APPLIANCES NO SECURITY DEPOSIT MOVE IN FEE $350 CHARLES 773-997-8680 -=>, 501-1000, 501-1000
4042,"612 W. Patterson Wrigleyville Fabulous studio in the heart of Wrigleyville! Unit features cooking gas included, brand new kitchen with espresso cabinets, granite countertops, stainless steel appliances, spacious living area with ceiling fan, great closet space, gorgeous hardwood floors throughout, new bathroom, laundry room on site, and pets are welcome! Walking distance to nightlife, transportation, shopping, and more! UA1701 Please Text Michael Maneykowski at 323/840-4067 to schedule an appointment to view this apartment and mention Apartment ID: 23109. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
126,"Townhouse with 3 bedrooms, 1.5 bath. Full basement and one parking spot assigned. Freshly painted, convenient location, walk to train, shopping and restaurants. No pets. Renter responsible for utility bills. First months rent and security deposit due at signing. Employment, credit and background check. Credit must be 670 or higher. Income 3x monthly rent. -=>", 1501-2000, 1501-
23,"Nice bright , high ceilings 2 bedroom,4 room Back porch Laundry in building Near public transportation Available 9/1 $1,195.00 + heat and electric $40.00 credit check $1,195.00 Securiry deposit 773/3867610 -=>", 1001-1500, 1001-
2979,"PROPERTY INFO ID: 34347197 Rent: $3,600 / Month Beds: 4 Bath: 2 Available Date: 06/01/2023 Pet: Cats Allowed Parking:: street parking CHECK OUT OUR VIDEO TOUR: <URL> - Rehabbed in 2001 - Duplex down - Updated kitchen - Dishwasher - Bathroom on lower level has a double vanity - Hardwood floors on upper level - Tile floors on lower level - Exposed brick - Queen sized bedrooms - Alarm System - Central air/ Forced heat - In unit laundry Southport & Altgeld - Few blocks away from DePaul - Near night life, shopping, gym and parks - Easy street parking - Rentable ICM parking spots a few blocks away. Limited spots. - Cat friendly! - NO Security Deposit - 24-Hour Emergency Call Center ICM Properties has been proudly managing apartments since 1966. Call ICM Properties, Inc. for details or to arrange for a showing @ 773 549-5443. To see a list of other ICM properties, visit our website @ <URL> FEATURES Alarm System Ceiling Fan Central Air Conditioning Central Heat Close to EL Dishwasher Eat-in Kitchen Gas Heat Gas Stove Hardwood Floors Heat and Hot Water Modern Bathrooms Near Bus Lines Near Metra New Windows Refrigerator Rehab Renovated Kitchen Washer/Dryer in Unit -=>", 3501-4000, 3501-
3794,"2 Bed 2 Bath Condo for Rent 444 N Wilke Rd. Palatine, IL 60074 1,065 sqft Washer Dryer in the Condo. Newly painted. 2 parking spots available. Utilities included Internet, water, heat, gas and trash pick up. Only electric is tenant responsibility. Residential swimming pool and fitness center accessible. Electric smart lock installed. A table, sofa and bed are available. Unit is available in February 17th. Direct contract with the owner. Feel free to text or email me. 77three.8two9.121four -=>", 1501-2000, 1501-
87,"PROPERTY INFO ID: 70482231 Rent: $2,787 / Month Beds: 2 Bath: 1 Pet: Pet Friendly Parking:: attached garage Conveniently located in Chicago’s River North boutique art and furniture district, this modern glass masterpiece was inspired by the bevy of historical buildings in the surrounding neighborhood. Taking up a full city block, the amenities in this building rival any of its kind, with a 75 foot lap pool, outdoor hot tub and sauna, fitness center with a boxing simulator, spin bikes and on-demand workout classes. Still not enough? Enjoy the game area, private work/meeting space, library nook, party suite, grilling stations, fire pits and lounge area with your very own private park. Transportation is a breeze living here, with easy access to 90/94 and a 5 minute walk to the CTA Purple, Brown and Red Lines. Copious shops and restaurants surround you, with a Whole Foods only 3 blocks away. Each apartment home features driftwood plank floors, stainless steel energy saving appliances, in-unit washer/dryer, quartz countertops and garbage disposal. Most units also have a balcony. Even the security is state of the art, with keyless entry and smartphone integration. Your pets are welcome here, with a doggie spa, lounge and gated outdoor dog park. Weight and breed restrictions do apply. Covered parking is available on site for an additional charge. FEATURES Balcony-All Units Central Air-Yes Dishwasher-All Dogs-No Weight Limit Flooring-Hardwood Only Laundry- W/D In Unit Luxury Property New Property Pool-Outdoor Security-24 Hour Doorman Smoking-No Stove-Gas Daniel Musselwhite 312-995-0285 Hotspot Rentals Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 2501-3000, 2501-
753,"This apartment comes with beautiful hardwood flooring, stainless steel appliances, granite countertops, remote control AC/Heat, complimentary wired fiber internet, built-in dishwasher, refrigerator, and microwave. Located just a two blocks from Wrigley Field, you will find tons of nice restaurants, shops, and tons of nightlife opportunities. Trash removal and water utilities included in rent, along with complimentary wired fiber internet! NEARBY LOCATIONS > Sheridan Red line station, Sheridan & Irving Park X9, 80, and 151 buses, Broadway & Irving Park 36 and 80 buses > Whole Foods, Jewel Osco, Target, Walgreens > Planet Fitness, FFC > Montrose Beach, Thorek Memorial Hospital, Wrigley Field BUILDING FEATURES > Fitness center > Top floor sundeck > Secure bike storage > Secure access entry > Elevator > Laundry room > 24 hour maintenance engineers > Complimentary wired fiber internet > Pet cat friendly > Leasing/Management office Please Contact for more information Caiden Purcell BJB Properties Inc. 224-500-7624 Email, Call, or Text Equal Housing Opportunity Pictures are for marketing purposes and may not represent the exact unit available Prices subject to change -=>", 1001-1500, 1001-
